gene_id	gene_name	gene_biotype	PH7MLH_1_tpm	PH7MLH_1_count	PH7MLH_2_count	PH7MLH_2_count
ENSG00000009335	UBE3C	protein_coding	24.56047705	24.56047704	18.80387613	18.80387613
ENSG00000009413	REV3L	protein_coding	5.795770123	5.795770123	23.96948509	23.96948509
ENSG00000009694	TENM1	protein_coding	5.466114682	5.466114683	1.020840713	1.020840713
ENSG00000009709	PAX7	protein_coding	0	0	0.032644059	0.032644059
ENSG00000009724	MASP2	protein_coding	0.042023711	0.042023711	0	0
ENSG00000009765	IYD	protein_coding	0	0	0.023525989	0.023525989
ENSG00000009780	FAM76A	protein_coding	4.528461493	4.528461493	8.227710342	8.22771034
ENSG00000009790	TRAF3IP3	protein_coding	0.028060994	0.028060994	0.031864814	0.031864814
ENSG00000009830	POMT2	protein_coding	2.946784602	2.946784603	2.398136665	2.398136666
ENSG00000009844	VTA1	protein_coding	10.96652102	10.96652102	22.35432144	22.35432144
ENSG00000009950	MLXIPL	protein_coding	1.316528783	1.316528783	0.152033022	0.152033022
ENSG00000009954	BAZ1B	protein_coding	41.38450104	41.38450105	37.16527267	37.16527267
ENSG00000010017	RANBP9	protein_coding	21.1291309	21.1291309	16.78254689	16.78254689
ENSG00000010030	ETV7	protein_coding	0.183212051	0.18321205	0.104023717	0.104023718
ENSG00000010072	SPRTN	protein_coding	4.786903399	4.7869034	3.282383342	3.282383342
ENSG00000010165	METTL13	protein_coding	19.18709837	19.18709837	7.606466221	7.606466223
ENSG00000010219	DYRK4	protein_coding	12.80158469	12.80158469	37.07787459	37.07787459
ENSG00000010244	ZNF207	protein_coding	19.06105236	19.06105236	24.68589754	24.68589755
ENSG00000010256	UQCRC1	protein_coding	30.31699905	30.31699905	36.84807749	36.84807748
ENSG00000010270	STARD3NL	protein_coding	28.73544966	28.73544966	43.0805255	43.08052549
ENSG00000010278	CD9	protein_coding	144.2222223	144.2222223	378.5043878	378.5043878
ENSG00000010282	HHATL	protein_coding	0.141032881	0.141032882	0.064060261	0.064060261
ENSG00000010292	NCAPD2	protein_coding	36.88633095	36.88633094	58.95807392	58.95807393
ENSG00000010295	IFFO1	protein_coding	5.552680613	5.552680613	21.19996675	21.19996675
ENSG00000010310	GIPR	protein_coding	0.170333036	0.170333036	0.04835565	0.04835565
ENSG00000010318	PHF7	protein_coding	1.929850457	1.929850457	1.753161707	1.753161707
ENSG00000010319	SEMA3G	protein_coding	0.646342492	0.646342492	0.146791543	0.146791543
ENSG00000010322	NISCH	protein_coding	3.935723175	3.935723174	5.586539696	5.586539695
ENSG00000010327	STAB1	protein_coding	0.020504686	0.020504686	0.046568415	0.046568415
ENSG00000010361	FUZ	protein_coding	8.46834154	8.468341538	9.535462072	9.535462075
ENSG00000010379	SLC6A13	protein_coding	0	0	0.058202287	0.058202288
ENSG00000010404	IDS	protein_coding	5.188134924	5.188134924	6.753733498	6.753733498
ENSG00000010438	PRSS3	protein_coding	0	0	0	0
ENSG00000010539	ZNF200	protein_coding	2.026320467	2.026320468	2.722308884	2.722308884
ENSG00000010610	CD4	protein_coding	0.183366529	0.183366529	0.286306426	0.286306426
ENSG00000010626	LRRC23	protein_coding	4.702882846	4.702882845	16.58755659	16.58755659
ENSG00000010671	BTK	protein_coding	0.027601562	0.027601562	0.125372411	0.125372411
ENSG00000010704	HFE	protein_coding	1.6217669	1.6217669	1.027049602	1.027049602
ENSG00000010803	SCMH1	protein_coding	13.29283891	13.29283891	7.547377592	7.547377591
ENSG00000010810	FYN	protein_coding	23.29656629	23.29656629	100.6154845	100.6154845
ENSG00000010818	HIVEP2	protein_coding	0.251765225	0.251765225	0.047648894	0.047648894
ENSG00000010932	FMO1	protein_coding	0.060375543	0.060375542	0.017139944	0.017139943
ENSG00000011007	ELOA	protein_coding	21.91150652	21.91150652	22.33442295	22.33442295
ENSG00000011009	LYPLA2	protein_coding	39.21199135	39.21199135	14.22336116	14.22336116
ENSG00000011021	CLCN6	protein_coding	5.08484094	5.08484094	7.498855397	7.498855397
ENSG00000011028	MRC2	protein_coding	9.139726737	9.139726737	13.63839165	13.63839165
ENSG00000011052	NME1-NME2	protein_coding	963.020302	963.020302	1513.817635	1513.817635
ENSG00000011083	SLC6A7	protein_coding	0	0	0	0
ENSG00000011105	TSPAN9	protein_coding	5.237825953	5.237825951	2.129794814	2.129794814
ENSG00000011114	BTBD7	protein_coding	6.345962172	6.345962173	8.07632856	8.076328559
ENSG00000011132	APBA3	protein_coding	2.052685551	2.052685551	1.27142083	1.27142083
ENSG00000011143	MKS1	protein_coding	4.136346454	4.136346455	9.913590685	9.913590685
ENSG00000011198	ABHD5	protein_coding	4.557724788	4.557724789	5.470358814	5.470358813
ENSG00000011201	ANOS1	protein_coding	0.48733379	0.48733379	0.069174315	0.069174315
ENSG00000011243	AKAP8L	protein_coding	6.16585402	6.165854021	6.083417251	6.083417251
ENSG00000011258	MBTD1	protein_coding	3.01426551	3.014265509	19.37639522	19.37639522
ENSG00000011260	UTP18	protein_coding	46.74504414	46.74504413	68.94027496	68.94027498
ENSG00000011275	RNF216	protein_coding	12.25723924	12.25723924	13.97581853	13.97581853
ENSG00000011295	TTC19	protein_coding	13.8995766	13.8995766	16.47708201	16.47708202
ENSG00000011304	PTBP1	protein_coding	70.81759797	70.81759796	59.32265877	59.32265878
ENSG00000011332	DPF1	protein_coding	9.513593322	9.513593323	10.75249309	10.75249309
ENSG00000011347	SYT7	protein_coding	0.919181947	0.919181947	0.326181886	0.326181886
ENSG00000011376	LARS2	protein_coding	5.34422384	5.344223841	6.01104843	6.01104843
ENSG00000011405	PIK3C2A	protein_coding	3.020781994	3.020781994	6.21735594	6.217355939
ENSG00000011422	PLAUR	protein_coding	5.168767853	5.168767855	3.201503083	3.201503082
ENSG00000011426	ANLN	protein_coding	42.07893324	42.07893323	23.46951126	23.46951126
ENSG00000011451	WIZ	protein_coding	15.54290206	15.54290206	12.22656025	12.22656025
ENSG00000011454	RABGAP1	protein_coding	7.124943383	7.124943383	7.968180632	7.968180634
ENSG00000011465	DCN	protein_coding	0.062685798	0.062685798	0.338120185	0.338120185
ENSG00000011478	QPCTL	protein_coding	1.000759344	1.000759344	0.4807921	0.4807921
ENSG00000011485	PPP5C	protein_coding	17.42540903	17.42540903	10.48976834	10.48976834
ENSG00000011523	CEP68	protein_coding	3.708863305	3.708863306	5.317897818	5.317897817
ENSG00000011566	MAP4K3	protein_coding	7.300818952	7.300818953	8.610889681	8.610889682
ENSG00000011590	ZBTB32	protein_coding	0	0	0	0
ENSG00000011600	TYROBP	protein_coding	7.567731447	7.567731447	9.950459214	9.950459214
ENSG00000011638	LDAF1	protein_coding	10.14682602	10.14682602	11.91067478	11.91067478
ENSG00000011677	GABRA3	protein_coding	0.148108538	0.148108538	0.056061817	0.056061817
ENSG00000012048	BRCA1	protein_coding	3.139208576	3.139208577	6.275346238	6.275346237
ENSG00000012061	ERCC1	protein_coding	22.41873156	22.41873156	25.62437458	25.62437458
ENSG00000012124	CD22	protein_coding	0	0	0.118613019	0.118613019
ENSG00000012171	SEMA3B	protein_coding	3.357696547	3.357696547	1.846222343	1.846222342
ENSG00000012174	MBTPS2	protein_coding	8.411543817	8.411543818	5.711933593	5.711933593
ENSG00000012211	PRICKLE3	protein_coding	2.795737711	2.795737712	2.229055278	2.229055278
ENSG00000012223	LTF	protein_coding	0	0	0	0
ENSG00000012232	EXTL3	protein_coding	4.991026677	4.991026678	3.758583493	3.758583493
ENSG00000012504	NR1H4	protein_coding	0	0	0	0
ENSG00000012660	ELOVL5	protein_coding	19.76003916	19.76003916	18.69353736	18.69353736
ENSG00000012779	ALOX5	protein_coding	0.056604035	0.056604035	0.192831056	0.192831056
ENSG00000012817	KDM5D	protein_coding	2.783723623	2.783723623	0.038865645	0.038865645
ENSG00000012822	CALCOCO1	protein_coding	0.940943526	0.940943526	2.970933186	2.970933187
